Roofers Full Name As Stated In Salesforce,Pilot Program?,Wattage Tier 1,Price per watt 1,Wattage Tier 2,Price per watt 2,Wattage Tier 3,Price per watt 3,Wattage Tier 4,Price per watt 4,Template Message,Price per Square,Roofer State,Notes,Adjustments,Roofer Specific Guidelines,Proposal SKUs,Approved for TS,Bulk Partner,Product + Design
1st Class Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
3MG,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
4 Seasons,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A Crown Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A First Choice Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A Sterling Roof,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,TX,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A TEX Roofing & Remodeling Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A+ Roofing and Siding Co.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
A1 Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NY,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Above Board Construction & Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Acker Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Acme roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Acorn Home Improvements Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Affordable Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Affordable Roofing Services,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
All Trades Roofing & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
All Weather Exteriors LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Alliance Roofing & Exteriors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Allied Building Materials,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Allstate Roofing & More LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Alpha Omega Construction Group Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NC,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Alpha Omega Construction Grp of Charlotte,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NC,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Alpha Omega Construction Grp of Raleigh,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NC,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
American Home Contractors Inc (MD),YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
American Home Contractors Inc (NJ),YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
ANBE Roofing,YES,4300,3.75,6120,3.5,8280,3.5,54000,3.5,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Andrew's Roofing Company,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Arrowhead Homes,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Arry's Roofing Services Inc,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,FL,Converts to $3.75/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Ashmen Installations Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Assurance Residential Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Austin Roofing & Construction,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,TX,Converts to $3.50/W,JKarsnia requested default pricing to be adjusted to 3.50/W on 2/18/22,No unique requirements,No Changes Needed,Y,N,N
Authority Roofing LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
AVI Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
B&W Roofing Inc,YES,6120,4.5,8280,4.5,14400,4.5,54000,4.5,"Use the template ""TS Template""",6399,NY,Converts to $4.50/W,,Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Bachman's Roofing Building & Remodeling,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Baird Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Baker Electric, Inc.",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Baldwin Roofing Company,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Bay Valley Roofing,YES,6120,4.25,8280,4.25,14400,4.25,54000,4.25,"Use the template ""TS Template""",6043.5,CA,Converts to $4.25/W,Troble requested default pricing to be adjusted to 4.25/W on 2.23.22,No unique requirements,No Changes Needed,Y,N,N
Beacon Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Benjamin Brothers Construction Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
BFARR Contracting,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Big Bear Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NC,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Billings Construction Group Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,OK,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Binghamton Slag Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Blue Collar Roofers,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Blue Nail LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NJ,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Bob & Jerry Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Boss Roofing and Siding,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Brea Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Brightside Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Brinkmann Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",5688,TX,Converts to $3.75/W,TRoble requested update to change pricing to $4/W on 4/26/22,No unique requirements,No Changes Needed,Y,N,N
BSW Roofing Contractors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
BYLTup,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.5,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
California Roofs,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
CalPro,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Cal-Vintage Roofing Co Inc,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CA,Converts to $3.75/W,Kcool requested update to change pricing across all tiers to $3.75/W on 11/4/21,No unique requirements,No Changes Needed,Y,N,N
Carlson Solar Energy,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Carolina Roofing & Vinyl Siding LLC,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,Y,N,N
Carroll Bradford Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Castle Roofing & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Cazeault Solar and Home,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Central Florida Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Certified Roofers and General Contractors Inc.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Certified Roofing Specialists Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Chandler's Roofing,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CA,Converts to $3.75/W,Troy Roble requested update to change pricing across all tiers to $3.75/W on 2/2/22,No unique requirements,No Changes Needed,Y,N,N
Charles Copley Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Classic Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Clean Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Complete Exteriors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MS,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Copp Roofing & Construction Inc,YES,6120,4,8280,4,14400,4,54000,4,"Use the template ""TS Template""",5688,CA,Converts to $4/W,Kcool requested update to change pricing across all tiers to $4.00/W on 11/3/21,No unique requirements,No Changes Needed,Y,N,N
Core Contractors Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Crandall Roofing Inc,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CA,Converts to $3.75/W,Kcool requested update to change pricing across all tiers to $3.75/W on 7/1/21,No unique requirements,No Changes Needed,Y,N,N
Crown Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
DaBella Exteriors LLC,YES,6120,4.25,8280,4.25,14400,4.25,54000,4.25,"Use the template ""TS Template""",6043.5,CA,Converts to $4.25/W,Troble requested update to change pricing to $4.25/W on 4/1/22,No unique requirements,No Changes Needed,Y,N,N
"Dan Hanell Construction, Inc.",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Davis Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
DePalma Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Divided Sky Construction,YES,6120,3.6,8280,3.6,14400,3.6,54000,3.6,"Use the template ""TS Template""",5119.2,TX,Converts to $3.60/W,Troy Roble requested update to change pricing across all tiers to $3.60/W on 2/22/22,No unique requirements,No Changes Needed,Y,N,N
Dreamstyle Remodeling Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
EC Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Eco Home Expert,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Einix Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Elevate - confirm roofer account name,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,Upcoming TS Roofer,No unique requirements,No Changes Needed,N,N,N
Elite Roofing,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,NC,Converts to $3.50/W,Jkarsnia requested update to change pricing to $3.50/W on 2/17/22,No unique requirements,No Changes Needed,Y,N,N
Elite Roofing & Solar,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,Y,N,N
Elite Roofing and Contracting,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,Y,N,N
Elite Roofing and Solar Solutions,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Emmaty Renovation & Outdoor Services,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
EMT Renewables,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Energy Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
FairClaims Roofing & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,TRoble requested update to change pricing to $3.75/W on 4/26/22,No unique requirements,No Changes Needed,Y,N,N
Feazel Inc.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Feazel Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Fields Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Floridian Roofing & Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Formula Roofing & Remodeling,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,JKarsnia requested default pricing to be adjusted to 3.50/W on 2/18/22,No unique requirements,No Changes Needed,Y,N,N
Frank J Tucek & Son Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Freedom Roofing & Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
G. Fedale,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
GAF Energy,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
GAF Energy New Home,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
