Roofers Full Name As Stated In Salesforce,Pilot Program?,Wattage Tier 1,Price per watt 1,Wattage Tier 2,Price per watt 2,Wattage Tier 3,Price per watt 3,Wattage Tier 4,Price per watt 4,Template Message,Price per Square,Roofer State,Notes,Adjustments,Roofer Specific Guidelines,Proposal SKUs,Approved for TS,Bulk Partner,Product + Design
PROCO Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,TRoble requested update to change pricing to $3.75/W on 4/26/22,No unique requirements,No Changes Needed,Y,N,N
ProNail Roofing & Solar,YES,6120,4.3,8280,4.3,14400,4.3,54000,4.3,"Use the template ""TS Template""",6114.6,TX,Converts to $4.30/W,Kcool requested update to change pricing to $4.3/W,No unique requirements,No Changes Needed,Y,N,N
PRQ Exteriors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
R E Roofing & Construction Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
R3 Construction LLC.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Rainier Roofing LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Rainy Day Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Rebuild America,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NY,Converts to $3.50/W,,Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Reliant Roofers,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Remedy Roofing Inc,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,TRoble requested update to change pricing to $3.75/W on 4/26/22,No unique requirements,No Changes Needed,Y,N,N
Resnick Roofing & Contracting,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,PA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Restoration Builders Inc.,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,TX,Converts to $3.50/W,JKarsnia requested default pricing to be adjusted to 3.50/W on 2/18/22,No unique requirements,No Changes Needed,Y,N,N
Ridge Top,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
RidgeTop Exteriors,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Rising Sun Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,HI,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
River City Roofing Co Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roman Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Roof Check Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Roof Fix,YES,6120,4.3,8280,4.3,14400,4.3,54000,4.3,"Use the template ""TS Template""",6114.6,TX,Converts to $4.30/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Roof it Right,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roof Recovery,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roof Simple Inc.,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roof Smith,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roof Top Services LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Roof Works USA,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roofcorp of Metro Denver Inc,YES,6120,4,8280,4,14400,4,54000,4,"Use the template ""TS Template""",5688,CO,Converts to $4.00/W,Kcool requested update to change pricing to $4/W on 4.5.22,No unique requirements,No Changes Needed,Y,N,N
Roofcorp of Metro Denver Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Roofing by Curry,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Roofing King Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roofsimple Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Rooftech Systems Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Roper Roofing & Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CO,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
RRSA,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,Troble requested default pricing to be adjusted to 3.75/W on 3.16.22,No unique requirements,No Changes Needed,Y,N,N
"RRSA, IA",YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,Troble requested default pricing to be adjusted to 3.75/W on 3.16.22,No unique requirements,No Changes Needed,Y,N,N
"RRSA, TX",YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,TX,Converts to $3.75/W,Troble requested default pricing to be adjusted to 3.75/W on 3.16.22,No unique requirements,No Changes Needed,Y,N,N
Saber Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Samba Energy,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
San Diego County Roofing,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",5332.5,CA,Converts to $3.75/W,,No unique requirements,No Changes Needed,N,N,N
Schick Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
SCM Roof,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
SCM Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
SCM Roofing LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Semper Solaris,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Sequoia Roofing,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CA,Converts to $3.75/W,Troble requested update to change pricing to $3.75/W on 4/1/22,No unique requirements,No Changes Needed,Y,N,N
Serene Construction LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Shadowfax Roofing and Solar Company,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Shanco Companies, Inc",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Sharpe Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Sheegog Contracting,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Shine Solar, LLC",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Simmitri Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Simmons Built,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Skyta Roofing and Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,HI,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
SmartRoof,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,VA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Smith and Ramirez Restoration,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,TX,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
SoCal Construction,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Solar Construction Price Discovery,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
SolarTyme,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Source Solar,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Source Solar - Florida,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Southern Premier Roofing,YES,6120,0,8280,0,14400,0,54000,0,"Use the template ""TS Template""",0,NC,$0 value to be shown as of 2/9/22,,No unique requirements,No Changes Needed,Y,N,N
Southern Pro Restoration LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Specialty Roofers Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Spicer Bros Construction Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Steinmeyer Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Stonebridge Roofing, Waterproofing and Exteriors",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
StormForce,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Stratus Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,Y,N,N
Sun Coast Roofing Services Inc (East Coast),YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
Sun Coast Roofing Services Inc (West Coast),YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b,N,N,N
"Sundance Kitchen, Baths & Exteriors",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Sunnova,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Suntuity,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Superior One Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b - Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Superior Siding & Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Sutton's,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
TC Backer Construction LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,MD,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Texas Traditions Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,TX,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
The Roof Masters,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,Jkarsnia requested update to change pricing to $3.5/W on 2/17/22,No unique requirements,No Changes Needed,Y,N,N
Titan Contractors,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"Use the template ""TS Template""",4977,TX,Converts to $3.50/W,JKarsnia requested default pricing to be adjusted to 3.50/W on 2/18/22,No unique requirements,No Changes Needed,Y,N,N
Top Notch Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Treeium Inc,YES,6120,3.5,8280,3.5,14400,3.5,54000,3.5,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Tribecca Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
"Tristate General Construction, Inc.",YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
True Green Capital Management LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Tunnell Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
TWM Roofing,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"Use the template ""TS Template""",5332.5,CA,Converts to $3.75/W,Troble requested update to change pricing to $3.75/W on 4/1/22,No unique requirements,No Changes Needed,Y,N,N
Unicity / Ridge Pro Roofing LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Urbach Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
US Power Savers,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Valor Roof and Solar,YES,6120,5.1,8280,5.1,14400,5.1,54000,5.1,"Use the template ""TS Template""",7252.2,CO,Converts to $5.10/W,Kcool requested update to change pricing across all tiers to $5.10/W on 2/2/22,No unique requirements,No Changes Needed,Y,N,N
Van Lund Construction,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
Vandusen Exteriors,YES,6120,3.75,8280,3.75,14400,3.75,54000,3.75,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",5332.5,,Converts to $3.75/W,,No unique requirements,No Changes Needed,N,N,N
Watertight Roofing Services LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,FL,Converts to $3.50/W,,FLORIDA Partner - ONLY USE TL SR Laminate Shingle v1b - Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Weatherguard Roofing & Restoration,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NC,Converts to $3.50/W,Upcoming TS Roofer,Bulk Partner - Quote SKU's require additional data entry,Bulk Partner - CHANGE - Energy Shingle Sales Price = $0 - ADD - Solar Flashings & Electronics (1 W) SKU - QTY = System size in W,Y,Y,N
Wedge Roofing Inc,YES,4300,4,6120,4,8280,4,54000,4,"Use the template ""TS Template""",5688,CA,Converts to $4.20/W,Troble requested update to change pricint to $4/W on 3/23/22,No unique requirements,No Changes Needed,Y,N,N
Westshore Roofing Co,YES,6120,3.7,8280,3.7,14400,3.7,54000,3.7,"Use the template ""TS Template""",5261.4,CA,Converts to $3.70/W,Kcool requested update to change pricing across all tiers to $3.70/W on 11/3/21,No unique requirements,No Changes Needed,Y,N,N
"Westshore Roofing, Inc.",YES,6120,3.7,8280,3.7,14400,3.7,54000,3.7,"Use the template ""TS Template""",5261.4,CA,Converts to $3.70/W,Kcool requested update to change pricing across all tiers to $3.70/W on 11/3/21,No unique requirements,No Changes Needed,Y,N,N
Whitman Construction LLC,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,NJ,Converts to $3.50/W,,P+D Partner - Quote SKU's require additional data entry,P+D Partner - ADD - Design Services - REMOVE - Timberline Solar Services,Y,N,Y
Wilson Roofing Co Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,TX,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Wine Country Roofing Inc,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"Use the template ""TS Template""",4977,CA,Converts to $3.50/W,,No unique requirements,No Changes Needed,Y,N,N
Yorkshire Roofing,YES,6120,3.7,8280,3.5,14400,3.4,54000,3.4,"DECOTECH ONLY - close this file and use the Decotech proposal tool - use the template ""DECOTECH Template""",4977,,Converts to $3.50/W,,No unique requirements,No Changes Needed,N,N,N
